SEQ_AUTO_INFRACAO;QUANTIDADE;UNIDADE;TIPO;GRUPO;NOME_POPULAR;NOME_CIENTIFICO;CITES;DESCRICAO;CARACTERISTICA;SITUACAO;ULTIMA_ATUALIZACAO_RELATORIO
1855891;1;Unidade;Fauna;Ave;Periquitão-maracanã;Aratinga leucophthalmus;S;;Vivo;;08/11/2022 19:00
1952208;11800;kg (1.000 L);Pesca;Pescado;Pirarucu;Arapaima gigas;S;;Vivo;;08/11/2022 19:00
1914892;13.51;m³;Flora;Madeira Serrada;Morcegueira;;N;;Morta;;08/11/2022 19:00
1914892;12.43;m³;Flora;Madeira Serrada;Cedrinho;Erisma calcaratum;N;;Morta;;08/11/2022 19:00
1892754;1;Unidade;Fauna;Réptil;American-alligator;Alligator mississippiensis;S;Partes;Morto;;08/11/2022 19:00
1995958;91.6;m³;Flora;Tora;Cumbaru;Dipteryx odorata;N;;Morta;;08/11/2022 19:00
1995958;73.23;m³;Flora;Tora;Canela;;N;;Morta;;08/11/2022 19:00
1995958;173.65;m³;Flora;Tora;Garapeira;Apuleia molaris;N;;Morta;;08/11/2022 19:00
1995958;30.06;m³;Flora;Tora;Oiticica-amarela;Clarisia racemosa;N;;Morta;;08/11/2022 19:00
1995958;127.26;m³;Flora;Tora;Jatobá;Hymenaea courbaril;N;;Morta;;08/11/2022 19:00
1995960;52.09;m³;Flora;Tora;Peroba-mica;Aspidosperma macrocarpon;N;;Morta;;08/11/2022 19:00
1995960;5.05;m³;Flora;Tora;Garapeira;Apuleia molaris;N;;Morta;;08/11/2022 19:00
1994009;5;Unidade;Fauna;;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1994010;2;Unidade;Fauna;;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1994011;8;Unidade;Fauna;;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1994011;3;Unidade;Fauna;;Pichochó;Sporophila frontalis;N;;Vivo;;08/11/2022 19:00
1994013;1;Unidade;Fauna;;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1994014;1;Unidade;Fauna;;Tico-tico;Zonotrichia capensis;N;;Vivo;;08/11/2022 19:00
1994014;2;Unidade;Fauna;;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1994014;2;Unidade;Fauna;;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1994015;2;Unidade;Fauna;;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1994015;2;Unidade;Fauna;;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1802397;4;Unidade;Fauna;Mamífero;Preá;Cavia anolaimae;N;;Morto;;08/11/2022 19:00
1906919;1;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1823233;1;Unidade;Fauna;;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1823233;1;Unidade;Fauna;;Galo-da-campina;Paroaria dominicana;N;;Vivo;;08/11/2022 19:00
1872287;2;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1837550;;kg (1.000 L);Pesca;Pescado;;;N;;Morto;;08/11/2022 19:00
1781926;1;Unidade;Fauna;Ave;Carachué-coleira;Turdus albicollis;N;;Vivo;;08/11/2022 19:00
1781926;24;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1865303;1;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1857218;5;Unidade;Fauna;Ave;;;N;;Vivo;;08/11/2022 19:00
1853291;252078;m³;Flora;Madeira Serrada;;;N;;Morta;;08/11/2022 19:00
1853291;475;m³;Flora;Tora;;;N;;Morta;;08/11/2022 19:00
1831252;1;Unidade;Fauna;;Sabiá-laranjeira;;N;;Vivo;;08/11/2022 19:00
1831252;1;Unidade;Fauna;;Periquito-de-encontro-amarelo;;S;;Vivo;;08/11/2022 19:00
1831252;3;Unidade;Fauna;;Papagaio;;S;;Vivo;;08/11/2022 19:00
1831252;8;Unidade;Fauna;;Jabuti;;S;;Vivo;;08/11/2022 19:00
1862911;1;Unidade;Fauna;Ave;Sanhaço-cinzento;Thraupis sayaca;N;;Vivo;;08/11/2022 19:00
1862911;1;Unidade;Fauna;Ave;Galo-da-campina;Paroaria dominicana;N;;Vivo;;08/11/2022 19:00
1862911;1;Unidade;Fauna;Ave;Cancã;Cyanocorax cyanopogon;N;;Vivo;;08/11/2022 19:00
1862911;1;Unidade;Fauna;Ave;Periquito;Polytelis swainsonii;N;;Vivo;;08/11/2022 19:00
1862911;2;Unidade;Fauna;Ave;Periquito-da-caatinga;Aratinga cactorum;N;;Vivo;;08/11/2022 19:00
1862913;1;Unidade;Fauna;Ave;Papagaio-verdadeiro;Amazona aestiva;N;;Vivo;;08/11/2022 19:00
1862913;3;Unidade;Fauna;Ave;Bigodinho;Sporophila lineola;N;;Vivo;;08/11/2022 19:00
1862913;1;Unidade;Fauna;;Sofrê;Icterus jamacaii;N;;Vivo;;08/11/2022 19:00
1862913;2;Unidade;Fauna;Ave;Garibaldi;Agelaius ruficapillus;N;;Vivo;;08/11/2022 19:00
1862915;1;Unidade;Fauna;Ave;Papagaio-do-mangue;Amazona amazonica;N;;Vivo;;08/11/2022 19:00
1862916;1;Unidade;Fauna;Ave;Papagaio-verdadeiro;Amazona aestiva;N;;Vivo;;08/11/2022 19:00
1942531;8;Unidade;Fauna;Réptil;;;N;;Vivo;;08/11/2022 19:00
1942531;4;Unidade;Fauna;Réptil;Iguana;Iguana  spp.;S;;Vivo;;08/11/2022 19:00
1880376;1;Unidade;Fauna;Ave;Gola;Sporophila americana;N;;Vivo;;08/11/2022 19:00
1835482;.998;m³;Flora;Madeira Serrada;;;N;;Morta;;08/11/2022 19:00
1881997;2;Unidade;Fauna;Ave;Rolinha;Columbina talpacoti;N;;Vivo;;08/11/2022 19:00
1942033;15;Unidade;Fauna;Ave;Pomba-de-bando;Zenaida auriculata;N;;Morto;;08/11/2022 19:00
1854258;1;Unidade;Fauna;Ave;Bicudo;Oryzoborus maximiliani;S;;Vivo;;08/11/2022 19:00
1962356;2;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1962356;1;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1962356;1;Unidade;Fauna;Ave;Pintassilgo;Carduelis magellanicus;N;;Vivo;;08/11/2022 19:00
1962356;2;Unidade;Fauna;Ave;Galo-da-campina;Paroaria dominicana;N;;Vivo;;08/11/2022 19:00
1962356;1;Unidade;Fauna;Ave;Golinho;Sporophila albogularis;N;;Vivo;;08/11/2022 19:00
1962356;1;Unidade;Fauna;Ave;Chorão;Sporophila leucoptera;N;;Vivo;;08/11/2022 19:00
1962356;2;Unidade;Fauna;Ave;Baiano;Sporophila nigricollis;N;;Vivo;;08/11/2022 19:00
1962356;1;Unidade;Fauna;Ave;;;N;;Vivo;;08/11/2022 19:00
1962356;2;Unidade;Fauna;Ave;Bigodinho;Sporophila lineola;N;;Vivo;;08/11/2022 19:00
1962356;9;Unidade;Fauna;Ave;Graúna;Gnorimopsar chopi;N;;Vivo;;08/11/2022 19:00
1901477;1;Unidade;Fauna;;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1901477;1;Unidade;Fauna;Ave;Azulão;Passerina brissonii;N;;Vivo;;08/11/2022 19:00
1901477;19;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1964511;1;Unidade;Fauna;Ave;Caboclinho;;N;;Vivo;;08/11/2022 19:00
1964511;2;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;;N;;Vivo;;08/11/2022 19:00
1964511;1;Unidade;Fauna;Ave;Azulão-verdadeiro;;N;;Vivo;;08/11/2022 19:00
1964511;1;Unidade;Fauna;Ave;Galinho-da-serra;;N;;Vivo;;08/11/2022 19:00
1964511;1;Unidade;Fauna;Ave;Bigodinho;;N;;Vivo;;08/11/2022 19:00
1964511;4;Unidade;Fauna;Ave;Baiano;;N;;Vivo;;08/11/2022 19:00
1912846;2;Unidade;Fauna;;Arara-vermelha;Ara chloroptera;S;;Vivo;;08/11/2022 19:00
1912846;1;Unidade;Fauna;;Arara-canga;Ara macao;S;;Vivo;;08/11/2022 19:00
1912846;7;Unidade;Fauna;;Arara-vermelha-grande;Ara chloroptera;S;;Vivo;;08/11/2022 19:00
1912846;2;Unidade;Fauna;;Papagaio-do-mangue;Amazona amazonica;S;;Vivo;;08/11/2022 19:00
1912846;1;Unidade;Fauna;;Papagaio-campeiro;Amazona ochrocephala;S;;Vivo;;08/11/2022 19:00
1912846;18;Unidade;Fauna;;Ararajuba;Guarouba guarouba;N;;Vivo;;08/11/2022 19:00
1912846;3;Unidade;Fauna;;Coleira-do-norte;Sporophila americana;N;;Vivo;;08/11/2022 19:00
1912846;26;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1912848;2;Unidade;Fauna;;Arara-vermelha;Ara chloroptera;S;;Vivo;;08/11/2022 19:00
1912848;1;Unidade;Fauna;;Arara-canga;Ara macao;S;;Vivo;;08/11/2022 19:00
